name;datetime;tempmax;tempmin;temp;dew;humidity;precip;windspeed;winddir;sealevelpressure;cloudcover;solarradiation;solarenergy;uvindex;stations
Dong Thap;01/01/2015;28.1;22.1;25.3;20.9;77.7;0;14.8;353.2;1012.7;51.2;191.5;16.8;7;48907099999,48912599999,remote
Dong Thap;02/01/2015;26.1;20.1;23.8;17.4;68;0.2;14.8;352.5;1013.4;55.1;195.8;16.9;8;48907099999,48912599999,remote
Dong Thap;03/01/2015;29.1;22.9;25.4;20.1;72.5;0.3;13.3;5.5;1012.3;68.1;193.2;16.9;7;48907099999,48912599999,remote
Dong Thap;04/01/2015;30.1;22.1;26.4;21.9;77.3;0.2;10.8;123.9;1010.6;68.7;133.5;11.5;5;48907099999,48912599999,remote
Dong Thap;05/01/2015;30.1;24.1;26.3;23.5;84.9;3.5;9.4;113.5;1010.1;86;159.2;13.8;6;48907099999,48912599999,remote
Dong Thap;06/01/2015;31.1;23.1;26.7;23.4;83.6;1.4;18.4;106.6;1009.9;74.6;140.6;12.2;5;48907099999,48912599999,remote
Dong Thap;07/01/2015;30.1;24.1;26.6;22.5;79.1;0.7;14.8;100.9;1010.5;71;183.6;15.8;7;48907099999,48912599999,remote
Dong Thap;08/01/2015;30.1;24.1;26.9;21.8;74.9;0.1;16.6;100.7;1011.8;67.1;203.3;17.6;7;48907099999,48912599999,remote
Dong Thap;09/01/2015;31.1;23.7;26.7;20.9;72.1;5.2;18.4;92.2;1012.4;54.7;224.6;19.4;8;48907099999,48912599999,remote
Dong Thap;10/01/2015;31.1;23.1;26.7;21.6;74.6;0;13;78;1011.7;59.9;203.4;17.7;8;48907099999,48912599999,remote
Dong Thap;11/01/2015;30.1;22.1;26.4;22.3;79.4;0;12.2;102.6;1011.5;71.7;218.6;18.8;7;48907099999,48912599999,remote
Dong Thap;12/01/2015;30.1;22.1;26;21.8;79.1;0;10.4;79.6;1011.7;63.2;211.8;18.2;8;48907099999,48912599999,remote
Dong Thap;13/01/2015;30.1;22.1;26.1;20.6;72.8;0;14.8;16.8;1012.4;53;213.3;18.4;7;48907099999,48912599999,remote
Dong Thap;14/01/2015;29.1;23.5;25.7;20.8;75.6;0;13;336.5;1013.6;51.6;206.4;17.8;8;48907099999,48912599999,remote
Dong Thap;15/01/2015;29.1;20.1;24.1;18.1;71;0;10.5;15.7;1014.1;33.9;237.7;20.6;9;48907099999,48912599999,remote
Dong Thap;16/01/2015;28.1;20.1;24.1;18.3;72.5;0;11.2;29.7;1013.7;36.5;252.8;21.9;9;48907099999,48912599999,remote
Dong Thap;17/01/2015;30.1;20.1;24.6;19.8;76.6;0;13;232.9;1013.5;47.6;227;19.7;8;48907099999,48912599999,remote
Dong Thap;18/01/2015;28.7;22.1;25.2;20.4;76.2;0.2;13.3;145.3;1013.5;73.5;195.7;16.8;7;48907099999,48912599999,remote
Dong Thap;19/01/2015;28.1;21.1;24.7;20.1;77;0;13;73.9;1014;53.6;207.3;18;8;48907099999,48912599999,remote
Dong Thap;20/01/2015;29.1;21.1;25.3;20.1;74.2;0;11.1;70.9;1015;53.5;213.3;18.4;8;48907099999,48912599999,remote
Dong Thap;21/01/2015;30.1;21.1;25.4;20;74.5;0;13.3;101.5;1016.2;46.4;248.4;21.6;9;48907099999,48912599999,remote
Dong Thap;22/01/2015;30.1;21.1;25.4;20;74.5;0.1;13;120.6;1015.9;52.9;208.4;18;7;48907099999,48912599999,remote
Dong Thap;23/01/2015;29.7;22.1;25.4;19.5;71.8;0;16.6;113.9;1013.8;45.2;237.1;20.4;8;48907099999,48912599999,remote
Dong Thap;24/01/2015;30.4;20.1;24.9;19;71.7;0;13;127.9;1014;27.7;250.6;21.6;9;48907099999,48912599999,remote
Dong Thap;25/01/2015;30.1;20.9;24.8;19.3;73.3;0;16.6;107;1014.4;38.3;244.6;21;9;48907099999,48912599999,remote
Dong Thap;26/01/2015;30.1;20.1;25;19.9;75.1;0;13.7;119.3;1013.9;32.4;244.6;21.2;9;48907099999,48912599999,remote
Dong Thap;27/01/2015;30.1;20.1;25.4;20.3;75.3;0;14.8;111.6;1012.3;30.3;255;22;9;48907099999,48912599999,remote
Dong Thap;28/01/2015;30.1;21.1;25.5;20.6;76.2;0;16.1;117.9;1011.5;34.3;221.3;19.1;9;48907099999,48912599999,remote
Dong Thap;29/01/2015;31.1;22.1;25.7;20.8;75.4;0;16.9;114.6;1012.2;42.7;236.4;20.5;9;48907099999,48912599999,remote
Dong Thap;30/01/2015;29.3;21.9;25.3;20.1;73.9;0;18.4;116.7;1013.4;55;234.3;20.3;9;48907099999,48912599999,remote
Dong Thap;31/01/2015;30.1;20.1;24.9;19.2;72.3;0;15.5;110.1;1014.2;45.8;266.9;23.1;9;48907099999,48912599999,remote
Dong Thap;01/02/2015;31.1;21.1;25.2;18.2;67.7;0;20.5;89.7;1014;44.5;269.2;23.3;9;48907099999,48912599999,remote
Dong Thap;02/02/2015;31.1;21.1;26;18.5;65.3;0;25.9;83.2;1014.6;34.4;261.9;22.8;9;48907099999,48912599999,remote
Dong Thap;03/02/2015;31.1;22.1;26.2;20.6;72.9;0;13.7;89.2;1015.2;51;238;20.5;9;48907099999,48912599999,remote
Dong Thap;04/02/2015;30.1;22.6;26.1;20.7;73.2;0;11.5;101.5;1014.5;49.4;238.6;20.6;9;48907099999,48912599999,remote
Dong Thap;05/02/2015;30.1;22.1;25.7;19.4;69.5;0;15.1;86.9;1014.2;39.4;267;23.1;9;48907099999,48912599999,remote
Dong Thap;06/02/2015;30.1;20.1;25.1;18.2;67.9;0;12.2;85.1;1014.5;32.6;276.5;24;9;48907099999,48912599999,remote
Dong Thap;07/02/2015;29.1;21.1;24.8;19.2;72.9;0;16.6;97.3;1013.9;45.7;260.5;22.6;9;48907099999,48912599999,remote
Dong Thap;08/02/2015;29.7;20.9;25.1;18.3;67.4;0;22.3;99.5;1014;46;267.6;23.1;9;48907099999,48912599999,remote
Dong Thap;09/02/2015;29.1;20.9;24.7;18.4;69.4;0;17.6;93.3;1014.9;40.2;268.3;23;9;48907099999,48912599999,remote
Dong Thap;10/02/2015;29.7;21.4;24.9;17.4;65.4;0;16.6;74.6;1014.2;35.6;271.4;23.4;9;48907099999,48912599999,remote
Dong Thap;11/02/2015;30.1;19.1;25;18.8;70.7;0;15.5;117.8;1012.8;37.9;223.4;19.3;9;48907099999,48912599999,remote
Dong Thap;12/02/2015;31.1;20.1;24.9;18.7;71.1;0;16.6;109.2;1012.8;30.1;250.7;21.4;9;48907099999,48912599999,remote
Dong Thap;13/02/2015;30.1;20.1;24.8;18.9;72.2;0;18.4;118.9;1012.3;40.7;219.3;19.1;9;48907099999,48912599999,remote
Dong Thap;14/02/2015;29.1;20.1;24.7;19;72.7;0;22.3;131.6;1011.9;48.4;188.7;16.3;7;48907099999,48912599999,remote
Dong Thap;15/02/2015;30.1;21.1;25.2;20.3;77;0;13;117.3;1012.1;42.7;219.9;19;8;48907099999,48912599999,remote
Dong Thap;16/02/2015;30.1;20.1;25.3;20.7;77.8;0;14.8;120.8;1012.3;58.4;237.1;20.4;9;48907099999,48912599999,remote
Dong Thap;17/02/2015;31.1;21.1;25.9;20.4;73.5;0;16.6;119.9;1011.5;47.8;269.6;23.3;9;48907099999,48912599999,remote
Dong Thap;18/02/2015;31.1;21.1;26.7;21.4;74.4;0;22.3;115.2;1011.6;69.8;247.3;21.5;9;48907099999,48912599999,remote
Dong Thap;19/02/2015;32.1;24.1;27.3;21.8;73.4;0.3;22.3;118.2;1012.7;73.6;222.5;19.3;8;48907099999,48912599999,remote
Dong Thap;20/02/2015;32.1;23.9;27.3;20.8;69.3;0;20.5;105.9;1012.6;65.3;224.1;19.4;8;48907099999,48912599999,remote
Dong Thap;21/02/2015;31.1;23.4;27;21.5;73.6;0;15.3;127.9;1012.1;52.5;206.8;17.9;7;48907099999,48912599999,remote
Dong Thap;22/02/2015;31.1;22.1;26.8;21.8;76.3;0.1;11.5;113.5;1012.5;52.2;219.1;18.9;9;48907099999,48912599999,remote
Dong Thap;23/02/2015;31.8;23.1;27.4;22;74.4;0;13;126.5;1012.3;43;217.2;18.9;9;48907099999,48912599999,remote
Dong Thap;24/02/2015;31.1;23.1;27.2;22.5;77.3;0.1;11.2;157.1;1011.7;46.1;174.1;15.2;8;48907099999,48912599999,remote
Dong Thap;25/02/2015;29.1;24.1;26.4;21.6;76.2;0.2;11.2;145.8;1010.7;59.8;140.8;12;5;48907099999,48912599999,remote
Dong Thap;26/02/2015;33.1;21.1;26.6;20.8;72.8;0;13;131.1;1010.7;52.1;272.8;23.5;10;48907099999,48912599999,remote
Dong Thap;27/02/2015;33.1;22.9;27.8;21.9;72.7;0.4;18.4;116.5;1010.4;39;221.9;19.2;8;48907099999,48912599999,remote
Dong Thap;28/02/2015;32.1;24.1;28.2;22.4;72.7;1.1;18.4;117;1011;67.4;226;19.6;8;48907099999,48912599999,remote
Dong Thap;01/03/2015;32.1;24.1;27.9;22;72.2;0.1;19.1;119.1;1011.4;54.8;255.8;22.3;9;48907099999,48912599999,remote
