Date,ben luc,vam kenh,tan an,tra on,hung my,huong my,long thanh,cau ong thin,go quao,khanh thanh tan,son doc,soc trang,tra vinh,lang the,soctrang,dai ngai,bac lieu,my hoa,an thuan,xeo ro,ca mau,chu chi,hoa binh,tuyen nhon,bac trang,rach gia,my thanh,xuan khanh,thanh phu,cau noi,tran de,soc cung,cat lai,long toan,binh dai,vung liem,loc thuan,thoi binh,cau do,an ninh,giong trom,an lac tay,ben trai,ly nhan,dong tam,an dinh,thach phu,phuoc long,tra kha,cau quan,nha be,ninh thoi,my tho,song doc,ganh hao,long phu
2010-01-01,0.8,16.1,0.0,48.0,48.0,48.0,0.1,48.0,8.7,0.1,48.0,0.1,48.0,1.9,0.0,48.0,17.2,1.33,10.8,48.0,48.0,24.9,0.1,48.0,4.4,2.2,10.4,0.1,48.0,4.3,7.7,48.0,48.0,15.7,48.0,1.3,48.0,27.8,2.3,48.0,12.38,0.4,10.5,48.0,0.1,0.0,0.2,21.7,48.0,48.0,1.0,,0.0,27.7,48.0,48.0
2010-01-02,0.7,13.5,0.0,0.1,0.5,0.1,0.1,10.5,8.4,0.1,0.1,0.2,6.2,0.6,0.0,0.0,16.9,2.2,12.6,1.6,23.3,24.6,0.1,0.1,3.6,3.5,11.7,0.1,0.4,5.0,5.8,0.1,7.2,15.9,12.15,0.7,1.7,27.7,2.5,4.7,11.5,0.8,9.6,18.3,0.1,0.0,0.1,21.9,1.7,0.0,1.3,,0.1,27.4,18.5,1.4
2010-01-03,5.0,9.4,0.0,0.1,0.7,0.1,0.1,8.6,7.9,0.12,0.1,0.2,6.4,0.5,0.0,0.5,16.7,2.8,11.8,2.0,23.6,24.9,0.1,0.1,2.3,5.6,11.0,0.1,0.4,5.8,4.5,0.1,7.9,15.8,7.6,0.27,1.0,27.5,2.4,0.8,10.5,0.6,9.0,16.7,0.2,0.0,0.1,21.6,1.7,0.0,1.9,,0.21,27.7,18.4,1.5
2010-01-04,0.4,6.6,0.0,0.17,0.7,0.1,0.1,10.9,6.8,0.18,0.1,0.2,6.0,0.5,0.0,0.7,15.35,2.03,8.7,2.4,21.8,24.6,0.2,0.1,2.5,3.1,10.3,0.1,0.5,5.4,3.1,0.1,6.9,15.5,9.43,0.27,0.9,27.6,2.3,1.0,9.78,0.3,5.7,16.0,0.8,0.0,0.2,21.5,1.7,0.0,2.4,,0.5,27.8,18.4,0.5
2010-01-05,0.4,4.3,0.0,0.17,0.6,0.1,0.1,12.0,5.3,0.2,0.1,0.2,4.6,0.4,0.0,2.2,15.3,1.3,6.5,2.6,21.5,24.9,0.2,0.1,2.5,2.1,9.4,0.2,0.7,4.3,4.6,0.1,6.3,15.1,14.65,0.2,0.9,27.7,2.4,2.2,10.4,0.0,5.1,16.6,0.6,0.0,0.1,21.6,1.7,0.0,1.6,,0.6,27.9,18.4,0.1
2010-01-06,0.5,4.2,0.0,0.1,0.6,0.1,0.1,11.8,5.8,0.2,0.1,0.2,2.2,0.4,0.0,2.7,17.3,0.83,5.1,2.7,21.9,25.4,0.2,0.1,1.9,1.2,7.2,0.1,0.6,3.5,6.9,0.1,5.9,15.7,18.5,0.2,1.1,27.7,2.4,2.1,11.1,0.0,2.6,16.7,0.3,0.0,0.1,18.7,1.5,0.0,1.4,,0.2,27.9,18.4,0.0
2010-01-07,0.6,7.5,0.0,0.1,0.6,0.2,0.1,11.9,5.3,0.1,0.1,0.2,1.0,0.1,0.0,1.8,17.05,0.48,6.1,2.4,22.6,25.2,0.1,0.1,1.9,1.2,7.5,0.1,0.4,2.0,8.2,0.1,6.7,15.8,14.85,0.2,1.8,27.7,2.3,1.4,11.12,0.2,5.2,15.2,0.2,0.0,0.2,17.9,0.8,0.0,1.7,,0.1,29.0,18.4,0.1
2010-01-08,0.6,8.4,0.0,0.1,0.5,0.1,0.1,10.2,3.5,0.1,0.1,0.2,0.9,0.1,0.0,1.1,16.0,1.83,10.1,2.2,22.4,25.6,0.1,0.1,2.8,0.8,8.8,0.1,0.4,2.7,6.9,0.1,7.1,15.9,11.9,0.27,1.6,27.7,2.1,1.4,10.18,0.7,8.1,17.1,0.1,0.0,0.2,16.8,0.6,0.0,2.8,,0.0,30.2,18.4,0.4
2010-01-09,0.8,11.0,0.0,0.1,0.8,0.1,0.1,8.7,1.6,0.1,0.1,0.2,2.1,2.1,0.0,1.5,14.18,2.63,13.4,2.0,21.8,25.4,0.1,0.1,9.6,0.3,9.3,0.1,0.5,3.6,5.7,0.1,7.7,15.7,11.1,0.7,1.0,27.7,1.9,1.3,9.95,1.0,11.8,16.7,0.2,0.0,0.1,16.5,0.8,0.0,3.9,,0.2,30.7,18.4,0.6
2010-01-10,0.8,13.5,0.0,0.1,0.8,0.1,0.1,9.1,3.8,0.1,0.1,0.2,5.1,2.5,0.0,3.4,12.6,2.4,15.6,1.9,22.6,24.9,0.2,0.1,4.8,0.1,9.1,0.1,0.9,4.3,7.2,0.1,7.8,15.6,13.75,0.9,0.7,27.8,1.6,1.1,10.5,0.6,13.5,17.6,0.5,0.0,0.1,16.4,0.8,0.0,2.7,,0.6,30.3,18.4,0.8
