id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
0,8.55411063835043E18,0.58,0.9,0.04,0.024,19.0,0.3,23.8,4.5,0.13935131842583418,0.12344581901078948,0.40214845586245784
1,8.55411063835043E18,0.58,0.8,0.05,0.012,16.0,0.7,24.9,11.2,0.31479943976562325,0.12945127021678882,0.7590501497480353
2,8.55411063835043E18,0.81,0.5,0.05,0.094,49.0,1.1,21.0,7.0,0.6760873348746268,0.0685304450604864,1.42070511480974
3,8.55411063835043E18,0.69,0.5,0.09,0.097,26.0,1.6,24.1,13.7,0.09707502719729826,0.12318982219183158,0.3173398765864281
4,8.55411063835043E18,0.89,0.9,0.06,0.035,17.0,1.8,24.3,5.0,0.39161722530629184,0.16862547180307422,0.9518599224156579
5,8.55411063835043E18,0.61,0.9,0.1,0.021,51.0,1.0,23.0,15.7,0.22483346417252206,0.17201357655926441,0.6216805049043086
6,8.55411063835043E18,0.63,0.4,0.06,0.035,13.0,0.9,18.0,11.9,0.44599899600215814,0.09443978529104849,0.9864377772953647
7,8.55411063835043E18,0.77,0.7,0.07,0.067,15.0,1.9,21.4,10.7,0.20102176988356424,0.14437746782453859,0.5464210075916671
8,8.55411063835043E18,0.9,0.9,0.07,0.004,39.0,1.3,19.4,14.1,0.20746463894215855,0.17923362369008589,0.594162901574403
9,8.55411063835043E18,0.6,0.7,0.09,0.015,10.0,2.0,23.3,3.0,0.15722532910405496,0.16508220682542374,0.47953286503353365
10,8.55411063835043E18,0.56,0.5,0.02,0.035,38.0,0.2,25.6,2.4,0.19146978231835607,0.4072843711216462,0.7902239357583584
11,8.55411063835043E18,0.64,0.4,0.08,0.009,45.0,1.1,17.4,6.4,0.10053389983128197,0.0913470139618715,0.29241481362443544
12,8.55411063835043E18,0.72,1.0,0.02,0.011,23.0,1.8,18.8,3.4,0.3341633032185737,0.08686216279692328,0.7551887692340706
13,8.55411063835043E18,0.82,0.5,0.08,0.079,10.0,0.3,19.4,17.8,0.4030848711068593,0.1168857975297048,0.9230555397434235
14,8.55411063835043E18,0.8,0.6,0.03,0.094,23.0,1.8,24.4,5.0,0.7887816921570587,0.15047235898619682,1.7280357433003144
15,8.55411063835043E18,0.52,0.7,0.02,0.042,30.0,1.5,19.2,5.1,0.06983540966670601,0.25367700313049196,0.393347822463904
16,8.55411063835043E18,0.62,0.6,0.02,0.035,33.0,1.4,24.1,3.3,0.7514858365057947,0.323015635140824,1.8259873081524134
17,8.55411063835043E18,0.63,0.7,0.04,0.057,34.0,0.7,20.3,3.6,0.15027892153493513,0.08544229138521803,0.3860001344550883
18,8.55411063835043E18,0.73,0.7,0.01,0.051,54.0,0.2,17.6,11.0,0.2566861716511225,0.5500753835205638,1.0634477268228089
19,8.55411063835043E18,0.52,0.5,0.04,0.093,15.0,1.9,21.8,2.7,0.12727042120154097,0.11505052644573319,0.36959136884881516
20,8.55411063835043E18,0.77,0.7,0.07,0.067,15.0,1.6,24.1,13.7,0.1992426661734593,0.14437746782453859,0.5428628001714572
21,8.55411063835043E18,0.52,0.7,0.07,0.067,15.0,1.9,21.4,10.7,0.4564688290383671,0.14437746782453859,1.0573151259012727
22,8.55411063835043E18,0.64,0.4,0.08,0.097,26.0,1.6,24.1,13.7,0.0715531848334129,0.0913470139618715,0.2344533836286973
23,8.55411063835043E18,0.69,0.5,0.09,0.097,26.0,1.9,21.4,10.7,0.12914326703728427,0.12318982219183158,0.3814763562664001
24,8.55411063835043E18,0.69,0.5,0.09,0.009,45.0,1.1,17.4,6.4,0.13596627525927318,0.12318982219183158,0.395122372710378
25,8.55411063835043E18,0.77,0.7,0.02,0.042,30.0,1.5,19.2,5.1,0.5465353871585914,0.25367700313049196,1.3467477774476748
26,8.55411063835043E18,0.9,0.9,0.07,0.004,39.0,1.3,21.8,14.1,0.33735700863818857,0.17923362369008589,0.853947640966463
27,8.55411063835043E18,0.77,0.5,0.07,0.067,15.0,1.9,21.4,10.7,0.15516696160502721,0.09996378694756501,0.41029771015761946
28,8.55411063835043E18,0.52,0.7,0.02,0.042,30.0,1.5,24.1,13.7,0.08485964799641546,0.25367700313049196,0.4233962991233229
29,8.55411063835043E18,0.52,0.7,0.04,0.024,19.0,0.3,23.8,4.5,0.1941312358486954,0.08544229138521803,0.47370476308260884
30,8.55411063835043E18,0.58,0.9,0.04,0.097,26.0,1.6,24.1,13.7,0.12133262779996526,0.12344581901078948,0.36611107461072
31,8.55411063835043E18,0.69,0.5,0.09,0.097,26.0,1.6,19.2,5.1,0.18860531495418015,0.12318982219183158,0.5004004521001919
32,8.55411063835043E18,0.69,0.7,0.02,0.042,30.0,1.5,19.2,5.1,0.387159112867362,0.25367700313049196,1.0279952288652159
33,8.55411063835043E18,0.52,0.5,0.04,0.093,15.0,1.9,21.4,10.7,0.393817076714131,0.11505052644573319,0.9026846798739953
34,8.55411063835043E18,0.58,0.9,0.02,0.042,30.0,1.5,19.2,5.1,0.15941909076719218,0.1336200899721087,0.4524582715064931
35,8.55411063835043E18,0.69,0.5,0.09,0.024,19.0,0.3,23.8,4.5,0.08408197467790558,0.12318982219183158,0.29135377154764275
36,8.55411063835043E18,0.52,0.5,0.09,0.009,45.0,1.1,17.4,6.4,0.1860209732149723,0.12318982219183158,0.4952317686217762
