id,seed,daily_ch4_base,ch4_straw_multiplier,leftover_straw_decrease_coefficient,labor_land_prep_hours_manual,labor_pest_management_hours,labor_sowing_manual_hours,labor_fertilizer_manual_hours,labor_spray_manual_hours,daily_labor_water_awd,daily_labor_water_cf,labor_cost_per_hour,pumping_cost_per_mm,fertilizer_unit_price,pesticide_unit_cost,straw_market_price,muddy_harvest_logistics_factor,grain_quality_discount_factor,fungicide_surcharge_factor,error_methane,error_labor,error_income,fitness
0,6.937931311661824E17,4.4,1.05,0.83,38.0,13.0,8.0,4.5,10.5,0.6,0.5,1.1,0.85,2.25,26.0,0.04,1.2,0.97,1.1,0.38555090848834855,0.008530419743655062,1.042101420938584,1.4361827491705874
1,6.937931311661824E17,4.3,0.95,0.89,44.0,38.0,18.0,8.0,10.5,2.3,1.4,1.3,0.15,1.85,11.0,0.015,1.05,0.98,1.4,0.3018713612339949,0.5884907372039768,0.586394036316144,1.4767561347541156
2,6.937931311661824E17,1.9,1.05,0.88,19.0,14.0,16.0,4.0,15.0,1.6,0.6,2.0,0.2,1.2,16.0,0.025,1.2,0.88,1.55,0.4246672489995157,0.17417610983787496,0.23735464874885298,0.8361980075862436
3,6.937931311661824E17,2.0,0.65,0.93,16.0,27.0,18.5,6.0,7.5,1.5,1.3,1.5,0.9,1.5,30.0,0.02,1.1,0.87,1.45,0.6012997668947321,0.23292138825226638,0.457444543166978,1.2916656983139765
4,6.937931311661824E17,3.8,1.05,0.82,37.0,30.0,15.5,10.5,14.0,0.9,0.2,0.4,0.55,2.1,25.0,0.01,1.05,0.77,1.35,0.4113121355744238,0.3087614591291104,0.8698984220884747,1.5899720167920088
5,6.937931311661824E17,1.9,1.45,0.84,17.0,12.0,6.5,11.0,5.0,2.1,0.9,1.0,0.25,1.4,12.0,0.025,1.05,0.99,1.45,0.6183342875208361,0.04870023767082736,1.1214267448985875,1.788461270090251
6,6.937931311661824E17,4.9,0.25,0.97,24.0,30.0,7.0,7.5,3.0,2.3,0.5,0.6,1.5,0.6,28.0,0.01,1.35,0.98,1.0,3.3068238412132542,0.19294255581020292,1.37275462152791,4.872521018551367
7,6.937931311661824E17,1.5,1.15,0.92,16.0,18.0,7.5,2.5,9.0,1.4,1.0,0.3,0.5,0.7,14.0,0.025,1.4,0.78,1.3,0.7158216051213062,0.005398523045581831,1.0029898662389316,1.7242099944058196
8,6.937931311661824E17,4.8,1.2,0.89,49.0,28.0,15.5,10.0,3.0,2.3,1.7,0.4,0.8,0.7,25.0,0.05,1.1,0.87,1.5,0.4483287135077889,0.4309661743485315,1.0707277451481152,1.9500226330044357
9,6.937931311661824E17,1.9,1.45,0.94,42.0,22.0,11.5,10.0,4.0,2.7,0.2,0.7,0.55,1.65,11.0,0.015,1.4,0.73,1.8,3.659104226802348,0.1327858416093676,0.7516375327536177,4.543527601165334
10,6.937931311661824E17,4.8,0.5,0.86,49.0,16.0,10.5,9.5,11.5,1.6,1.1,2.3,0.5,0.65,8.0,0.045,1.4,0.92,1.1,0.3953360801676266,0.4786077688651184,0.3495513373018429,1.223495186334588
11,6.937931311661824E17,1.4,1.0,0.81,34.0,22.0,5.5,3.0,6.5,2.8,1.4,0.3,1.3,1.35,6.0,0.035,1.15,0.86,1.4,0.7790759472677962,0.13675276928953264,1.1640659758833043,2.079894692440633
12,6.937931311661824E17,2.4,1.15,0.97,30.0,36.0,19.5,10.5,10.5,1.9,1.1,1.1,0.9,2.45,15.0,0.01,1.7,0.88,1.3,15.045267299509527,0.5049589911722224,0.5715233715352037,16.121749662216953
