id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
0,2.438347332235726E18,0.25,0.85,0.3,4.5,0.01,0.4,0.13073664299409676,0.6536832149704839
1,2.438347332235726E18,0.4,0.75,0.3,2.1,0.045,0.4,0.1638434691269464,0.8192173456347319
2,2.438347332235726E18,0.45,0.9,0.2,6.8,0.05,0.25,0.05818299406904976,0.2909149703452488
3,2.438347332235726E18,0.7,0.75,0.35,8.9,0.035,0.5,0.1373200227052008,0.686600113526004
4,2.438347332235726E18,0.3,1.0,0.3,3.8,0.065,0.15,0.15896033206045565,0.7948016603022783
5,2.438347332235726E18,0.2,1.0,0.2,3.8,0.01,0.5,0.19904421189710006,0.9952210594855003
6,2.438347332235726E18,0.5,0.75,0.1,6.3,0.05,0.15,0.13709864677246336,0.6854932338623168
7,2.438347332235726E18,0.3,0.95,0.45,2.5,0.09,0.45,0.16170792501725428,0.8085396250862714
8,2.438347332235726E18,0.7,0.9,0.4,3.7,0.04,0.3,0.09892594743824151,0.49462973719120756
9,2.438347332235726E18,0.25,1.0,0.2,4.4,0.06,0.25,0.16138884028427616,0.8069442014213808
10,2.438347332235726E18,0.55,0.95,0.4,3.8,0.1,0.15,0.14540798817447237,0.7270399408723618
11,2.438347332235726E18,0.65,0.75,0.45,9.0,0.055,0.4,0.1373200227052008,0.686600113526004
12,2.438347332235726E18,0.6,0.7,0.45,7.9,0.085,0.15,0.19042293005383074,0.9521146502691537
13,2.438347332235726E18,0.35,1.0,0.3,9.9,0.04,0.35,0.16244265595305452,0.8122132797652726
14,2.438347332235726E18,0.3,0.8,0.5,4.6,0.05,0.15,0.12749053664072466,0.6374526832036232
15,2.438347332235726E18,0.7,0.85,0.2,9.9,0.065,0.25,0.07496341793762278,0.3748170896881139
16,2.438347332235726E18,0.3,0.8,0.35,3.1,0.02,0.5,0.16719134221938228,0.8359567110969114
17,2.438347332235726E18,0.2,0.85,0.35,8.4,0.06,0.25,0.13298562133794667,0.6649281066897333
18,2.438347332235726E18,0.25,0.85,0.2,7.1,0.045,0.4,0.11953720164830658,0.597686008241533
19,2.438347332235726E18,0.3,0.75,0.4,9.2,0.035,0.15,0.16312581225195946,0.8156290612597973
20,2.438347332235726E18,0.25,0.85,0.2,9.9,0.065,0.25,0.08494013559012531,0.42470067795062655
21,2.438347332235726E18,0.2,0.85,0.2,9.9,0.065,0.25,0.1025265599034479,0.5126327995172395
22,2.438347332235726E18,0.2,0.85,0.2,7.1,0.045,0.4,0.13402070264364713,0.6701035132182356
23,2.438347332235726E18,0.7,0.85,0.35,8.4,0.06,0.25,0.07496341793762278,0.3748170896881139
24,2.438347332235726E18,0.3,0.8,0.3,4.5,0.01,0.4,0.13954896425463775,0.6977448212731887
25,2.438347332235726E18,0.7,0.85,0.3,4.5,0.01,0.4,0.07496341793762278,0.3748170896881139
26,2.438347332235726E18,0.25,0.85,0.35,8.4,0.06,0.25,0.11175765301596731,0.5587882650798366
