id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
0,1.276821374153433E18,0.6,0.85,0.3,9.5,0.01,0.4,0.07503768640977959,0.37518843204889796
1,1.276821374153433E18,0.3,0.75,0.3,9.2,0.05,0.4,0.18742267258710413,0.9371133629355206
2,1.276821374153433E18,0.3,0.75,0.5,3.9,0.02,0.25,0.1847685992238415,0.9238429961192075
3,1.276821374153433E18,0.2,0.9,0.3,4.1,0.08,0.25,0.1190568688902953,0.5952843444514765
4,1.276821374153433E18,0.3,0.8,0.1,6.8,0.08,0.45,0.1378785417055754,0.689392708527877
5,1.276821374153433E18,0.4,0.75,0.15,5.7,0.035,0.2,0.14136404872993572,0.7068202436496785
6,1.276821374153433E18,0.6,0.9,0.3,2.2,0.025,0.15,0.09870780925563473,0.49353904627817363
7,1.276821374153433E18,0.3,0.8,0.1,3.5,0.02,0.45,0.13506157754685735,0.6753078877342867
8,1.276821374153433E18,0.4,0.85,0.45,9.7,0.095,0.15,0.04865663480917798,0.2432831740458899
9,1.276821374153433E18,0.5,0.85,0.5,2.3,0.095,0.25,0.061518078365493785,0.30759039182746895
10,1.276821374153433E18,0.3,0.7,0.3,8.9,0.07,0.5,0.24911495341373474,1.2455747670686736
11,1.276821374153433E18,0.45,0.8,0.35,4.2,0.07,0.35,0.09657567142749987,0.4828783571374994
12,1.276821374153433E18,0.2,0.85,0.35,2.4,0.01,0.1,0.10935221764955871,0.5467610882477936
13,1.276821374153433E18,0.4,0.85,0.3,9.1,0.045,0.45,0.08770978613118208,0.4385489306559104
14,1.276821374153433E18,0.6,0.85,0.1,4.3,0.05,0.4,0.07503768640977959,0.37518843204889796
15,1.276821374153433E18,0.6,1.0,0.35,8.7,0.095,0.5,0.1987987748338893,0.9939938741694465
16,1.276821374153433E18,0.4,0.7,0.4,5.6,0.005,0.1,0.19742245123621044,0.9871122561810521
17,1.276821374153433E18,0.45,1.0,0.35,5.8,0.1,0.15,0.17033900972369237,0.8516950486184618
18,1.276821374153433E18,0.7,1.0,0.2,6.2,0.085,0.25,0.1987987748338893,0.9939938741694465
19,1.276821374153433E18,0.6,0.8,0.3,3.4,0.02,0.25,0.09328593727715902,0.4664296863857951
20,1.276821374153433E18,0.6,0.9,0.3,2.2,0.01,0.4,0.09870780925563473,0.49353904627817363
21,1.276821374153433E18,0.45,0.8,0.35,4.2,0.05,0.4,0.10143254386978723,0.5071627193489361
22,1.276821374153433E18,0.6,0.85,0.1,4.3,0.07,0.35,0.07503768640977959,0.37518843204889796
23,1.276821374153433E18,0.6,0.85,0.3,9.5,0.025,0.15,0.07503768640977959,0.37518843204889796
24,1.276821374153433E18,0.5,0.85,0.5,3.4,0.095,0.25,0.0695340873721678,0.34767043686083904
25,1.276821374153433E18,0.6,0.8,0.1,4.3,0.05,0.4,0.09328593727715902,0.4664296863857951
26,1.276821374153433E18,0.4,0.85,0.1,4.3,0.05,0.4,0.0687901506560619,0.34395075328030944
27,1.276821374153433E18,0.5,0.85,0.1,4.3,0.05,0.4,0.06945760166826535,0.3472880083413268
28,1.276821374153433E18,0.6,0.85,0.45,9.7,0.095,0.15,0.07503768640977959,0.37518843204889796
29,1.276821374153433E18,0.6,0.85,0.5,2.3,0.095,0.25,0.07503768640977959,0.37518843204889796
30,1.276821374153433E18,0.6,0.85,0.3,3.4,0.02,0.25,0.07503768640977959,0.37518843204889796
31,1.276821374153433E18,0.6,0.85,0.3,9.5,0.01,0.15,0.07503768640977959,0.37518843204889796
32,1.276821374153433E18,0.6,0.85,0.3,3.4,0.015,0.25,0.07503768640977959,0.37518843204889796
33,1.276821374153433E18,0.5,0.85,0.5,2.3,0.05,0.4,0.06400340268643202,0.3200170134321601
34,1.276821374153433E18,0.6,0.85,0.1,4.3,0.095,0.25,0.07503768640977959,0.37518843204889796
35,1.276821374153433E18,0.4,0.85,0.3,9.5,0.01,0.4,0.06582928940701709,0.32914644703508544
36,1.276821374153433E18,0.4,0.85,0.3,9.5,0.025,0.15,0.0450714250629074,0.225357125314537
37,1.276821374153433E18,0.5,0.85,0.5,3.4,0.05,0.4,0.06843090112002088,0.3421545056001044
38,1.276821374153433E18,0.4,0.85,0.1,4.3,0.095,0.25,0.04519193067837381,0.22595965339186902
39,1.276821374153433E18,0.4,0.85,0.45,3.4,0.095,0.25,0.05975620084270299,0.29878100421351494
40,1.276821374153433E18,0.5,0.85,0.5,9.7,0.095,0.15,0.07354204634186903,0.36771023170934514
41,1.276821374153433E18,0.6,0.85,0.1,3.4,0.095,0.25,0.07503768640977959,0.37518843204889796
