id,seed,protection_coefficient,max_soil_health,salinity_sensitivity_slope,salinity_sterility_threshold,sterility_penalty_rate,max_sterility_penalty,error_yield,fitness
0,4.307923921049272E17,0.4,0.9,0.15,4.4,0.075,0.15,0.060919530775740534,0.3045976538787027
1,4.307923921049272E17,0.7,0.85,0.5,3.2,0.025,0.4,0.07477287718327921,0.37386438591639604
2,4.307923921049272E17,0.35,0.95,0.15,4.2,0.05,0.5,0.13387788936203832,0.6693894468101915
3,4.307923921049272E17,0.45,0.7,0.4,8.1,0.02,0.25,0.19837108800945355,0.9918554400472678
4,4.307923921049272E17,0.45,0.85,0.25,3.1,0.035,0.5,0.06785247238716345,0.33926236193581727
5,4.307923921049272E17,0.65,0.95,0.3,2.4,0.03,0.4,0.14470012743949415,0.7235006371974707
6,4.307923921049272E17,0.6,0.8,0.4,5.2,0.06,0.3,0.09321531212716071,0.46607656063580355
7,4.307923921049272E17,0.55,1.0,0.3,6.5,0.06,0.1,0.19845246748892845,0.9922623374446422
8,4.307923921049272E17,0.3,0.75,0.35,5.8,0.1,0.15,0.15942544464767172,0.7971272232383586
9,4.307923921049272E17,0.45,0.8,0.4,4.7,0.025,0.2,0.08612535647509596,0.4306267823754798
10,4.307923921049272E17,0.6,0.8,0.3,9.5,0.08,0.35,0.09321531212716071,0.46607656063580355
11,4.307923921049272E17,0.7,0.85,0.35,5.6,0.075,0.15,0.07477287718327921,0.37386438591639604
12,4.307923921049272E17,0.3,0.9,0.25,3.7,0.085,0.15,0.061706327255930574,0.30853163627965285
13,4.307923921049272E17,0.25,0.75,0.45,9.9,0.05,0.35,0.2085180435273008,1.042590217636504
14,4.307923921049272E17,0.5,0.75,0.5,5.1,0.04,0.45,0.13737258178056486,0.6868629089028243
15,4.307923921049272E17,0.6,0.85,0.45,7.7,0.07,0.35,0.07477287718327921,0.37386438591639604
16,4.307923921049272E17,0.2,0.75,0.2,3.5,0.01,0.45,0.2051622942588969,1.0258114712944846
17,4.307923921049272E17,0.45,0.95,0.25,6.0,0.06,0.5,0.10903432216641411,0.5451716108320706
18,4.307923921049272E17,0.5,0.7,0.45,8.2,0.005,0.45,0.19089834038464248,0.9544917019232124
19,4.307923921049272E17,0.7,0.85,0.15,7.0,0.065,0.25,0.07477287718327921,0.37386438591639604
20,4.307923921049272E17,0.45,0.9,0.25,3.7,0.085,0.15,0.06521921796330234,0.32609608981651167
21,4.307923921049272E17,0.45,0.85,0.25,5.2,0.06,0.3,0.047505584069723085,0.23752792034861542
22,4.307923921049272E17,0.3,0.85,0.45,7.7,0.07,0.35,0.12599528840849564,0.6299764420424782
23,4.307923921049272E17,0.7,0.9,0.25,3.7,0.085,0.15,0.09835646386628448,0.4917823193314224
24,4.307923921049272E17,0.3,0.85,0.15,7.0,0.065,0.25,0.06373156644329563,0.31865783221647814
25,4.307923921049272E17,0.6,0.8,0.4,3.1,0.035,0.5,0.09321531212716071,0.46607656063580355
26,4.307923921049272E17,0.3,0.8,0.4,4.7,0.025,0.2,0.1224335325372346,0.612167662686173
27,4.307923921049272E17,0.4,0.9,0.15,3.2,0.025,0.4,0.06848196196652041,0.34240980983260205
28,4.307923921049272E17,0.7,0.85,0.5,4.4,0.075,0.15,0.07477287718327921,0.37386438591639604
29,4.307923921049272E17,0.6,0.9,0.25,3.7,0.085,0.15,0.09835646386628448,0.4917823193314224
30,4.307923921049272E17,0.7,0.85,0.5,7.0,0.065,0.25,0.07477287718327921,0.37386438591639604
31,4.307923921049272E17,0.7,0.85,0.15,3.2,0.025,0.4,0.07477287718327921,0.37386438591639604
32,4.307923921049272E17,0.4,0.9,0.15,7.0,0.065,0.25,0.05532745453987836,0.2766372726993918
33,4.307923921049272E17,0.3,0.85,0.15,4.4,0.075,0.15,0.047792203247351395,0.23896101623675697
34,4.307923921049272E17,0.4,0.9,0.15,3.2,0.085,0.15,0.06047851562334094,0.30239257811670467
35,4.307923921049272E17,0.4,0.9,0.15,4.4,0.025,0.4,0.06832896435268011,0.34164482176340055
36,4.307923921049272E17,0.7,0.85,0.5,3.2,0.075,0.15,0.07477287718327921,0.37386438591639604
37,4.307923921049272E17,0.45,0.9,0.25,3.7,0.025,0.4,0.0618604902978301,0.3093024514891505
38,4.307923921049272E17,0.45,0.95,0.25,3.7,0.025,0.4,0.10695143476785633,0.5347571738392817
39,4.307923921049272E17,0.4,0.9,0.15,5.0,0.025,0.4,0.06832896435268011,0.34164482176340055
40,4.307923921049272E17,0.5,0.9,0.25,3.7,0.085,0.15,0.09477090909849108,0.47385454549245537
41,4.307923921049272E17,0.4,0.9,0.25,3.7,0.085,0.15,0.05821260990259448,0.2910630495129724
42,4.307923921049272E17,0.45,0.9,0.15,3.2,0.085,0.15,0.06612048675034672,0.3306024337517336
43,4.307923921049272E17,0.45,0.85,0.15,7.0,0.065,0.25,0.043672328586979406,0.21836164293489702
44,4.307923921049272E17,0.3,0.9,0.25,3.7,0.075,0.15,0.061706327255930574,0.30853163627965285
45,4.307923921049272E17,0.4,0.85,0.15,7.0,0.065,0.25,0.046702456189665224,0.23351228094832613
46,4.307923921049272E17,0.4,0.9,0.25,5.2,0.06,0.3,0.059921738807954025,0.29960869403977014
47,4.307923921049272E17,0.3,0.9,0.15,7.0,0.065,0.25,0.06430188415395935,0.3215094207697967
48,4.307923921049272E17,0.3,0.9,0.15,3.2,0.085,0.15,0.05642031550205079,0.28210157751025394
49,4.307923921049272E17,0.4,0.9,0.25,3.7,0.025,0.4,0.07249017594315234,0.3624508797157617
50,4.307923921049272E17,0.3,0.85,0.15,4.4,0.085,0.15,0.047792203247351395,0.23896101623675697
51,4.307923921049272E17,0.45,0.85,0.25,5.2,0.085,0.3,0.047505584069723085,0.23752792034861542
52,4.307923921049272E17,0.45,0.85,0.15,4.4,0.085,0.15,0.04778376431747916,0.2389188215873958
